user_id,username,country,is_premium
1,User_1,IN,True
2,User_2,IN,False
3,User_3,JP,True
4,User_4,DE,False
5,User_5,UK,True
6,User_6,DE,False
7,User_7,UK,False
8,User_8,UK,True
9,User_9,AU,False
10,User_10,CA,True
11,User_11,DE,True
12,User_12,DE,True
13,User_13,AU,False
14,User_14,US,False
15,User_15,DE,False
16,User_16,UK,True
17,User_17,US,True
18,User_18,US,True
19,User_19,IN,False
20,User_20,JP,True
21,User_21,IN,False
22,User_22,CA,True
23,User_23,AU,False
24,User_24,DE,False
25,User_25,JP,True
26,User_26,IN,False
27,User_27,US,True
28,User_28,UK,False
29,User_29,CA,True
30,User_30,DE,False
31,User_31,IN,False
32,User_32,JP,False
33,User_33,UK,False
34,User_34,CA,False
35,User_35,UK,True
36,User_36,JP,False
37,User_37,JP,False
38,User_38,CA,False
39,User_39,DE,False
40,User_40,US,False
41,User_41,UK,False
42,User_42,US,False
43,User_43,IN,True
44,User_44,CA,False
45,User_45,US,False
46,User_46,US,True
47,User_47,CA,False
48,User_48,US,True
49,User_49,UK,True
50,User_50,AU,True
51,User_51,CA,False
52,User_52,US,True
53,User_53,DE,False
54,User_54,UK,True
55,User_55,AU,True
56,User_56,DE,False
57,User_57,US,True
58,User_58,CA,False
59,User_59,UK,False
60,User_60,DE,True
61,User_61,AU,True
62,User_62,IN,True
63,User_63,IN,True
64,User_64,IN,False
65,User_65,JP,True
66,User_66,CA,True
67,User_67,UK,False
68,User_68,JP,True
69,User_69,CA,True
70,User_70,JP,False
71,User_71,IN,True
72,User_72,AU,False
73,User_73,IN,False
74,User_74,US,False
75,User_75,AU,True
76,User_76,JP,True
77,User_77,CA,True
78,User_78,DE,True
79,User_79,UK,False
80,User_80,DE,False
81,User_81,AU,False
82,User_82,DE,False
83,User_83,JP,False
84,User_84,AU,False
85,User_85,US,False
86,User_86,DE,False
87,User_87,DE,False
88,User_88,CA,False
89,User_89,UK,False
90,User_90,JP,False
91,User_91,CA,True
92,User_92,UK,False
93,User_93,CA,False
94,User_94,DE,False
95,User_95,IN,True
96,User_96,UK,True
97,User_97,AU,False
98,User_98,IN,False
99,User_99,CA,False
100,User_100,DE,False
101,User_101,US,False
102,User_102,CA,True
103,User_103,JP,False
104,User_104,IN,False
105,User_105,DE,True
106,User_106,DE,True
107,User_107,AU,False
108,User_108,JP,False
109,User_109,AU,False
110,User_110,JP,False
111,User_111,DE,False
112,User_112,JP,False
113,User_113,US,False
114,User_114,CA,False
115,User_115,CA,True
116,User_116,AU,True
117,User_117,US,False
118,User_118,UK,True
119,User_119,JP,False
120,User_120,JP,True
121,User_121,DE,False
122,User_122,IN,False
123,User_123,IN,False
124,User_124,UK,False
125,User_125,DE,True
126,User_126,US,True
127,User_127,UK,True
128,User_128,CA,False
129,User_129,US,True
130,User_130,DE,True
131,User_131,UK,False
132,User_132,AU,False
133,User_133,UK,False
134,User_134,CA,True
135,User_135,DE,True
136,User_136,JP,True
137,User_137,AU,True
138,User_138,IN,False
139,User_139,JP,True
140,User_140,IN,False
141,User_141,UK,True
142,User_142,JP,False
143,User_143,UK,False
144,User_144,CA,False
145,User_145,UK,True
146,User_146,JP,False
147,User_147,UK,True
148,User_148,CA,False
149,User_149,CA,True
150,User_150,IN,True
151,User_151,IN,True
152,User_152,AU,False
153,User_153,IN,True
154,User_154,JP,True
155,User_155,JP,True
156,User_156,AU,False
157,User_157,US,True
158,User_158,UK,False
159,User_159,CA,True
160,User_160,JP,False
161,User_161,JP,False
162,User_162,JP,True
163,User_163,JP,True
164,User_164,CA,False
165,User_165,DE,False
166,User_166,CA,True
167,User_167,IN,True
168,User_168,UK,True
169,User_169,AU,True
170,User_170,AU,False
171,User_171,UK,False
172,User_172,IN,False
173,User_173,CA,False
174,User_174,DE,True
175,User_175,AU,False
176,User_176,JP,False
177,User_177,US,True
178,User_178,US,True
179,User_179,CA,True
180,User_180,US,False
181,User_181,CA,True
182,User_182,AU,True
183,User_183,US,True
184,User_184,IN,True
185,User_185,CA,True
186,User_186,US,True
187,User_187,IN,True
188,User_188,AU,True
189,User_189,CA,False
190,User_190,DE,False
191,User_191,UK,True
192,User_192,IN,True
193,User_193,IN,True
194,User_194,US,False
195,User_195,IN,False
196,User_196,US,True
197,User_197,JP,False
