id,movie_id,genre_id
1,1,3
2,1,8
3,1,2
4,2,7
5,3,2
6,3,7
7,3,5
8,4,5
9,4,7
10,5,6
11,5,5
12,6,8
13,6,6
14,6,4
15,7,6
16,8,2
17,9,2
18,9,3
19,9,4
20,10,1
21,11,6
22,12,4
23,12,6
24,12,8
25,13,1
26,14,5
27,14,7
28,14,8
29,15,5
30,16,2
31,17,8
32,17,5
33,17,1
34,18,2
35,18,3
36,19,5
37,20,5
38,20,1
39,21,7
40,21,4
41,22,8
42,23,2
43,24,5
44,24,1
45,25,8
46,26,8
47,26,5
48,27,5
49,27,6
50,28,5
51,28,1
52,28,8
53,29,2
54,29,6
55,30,8
56,31,5
57,31,6
58,31,7
59,32,4
60,32,6
61,33,4
62,33,7
63,34,5
64,35,1
65,35,4
66,36,2
67,36,5
68,37,1
69,38,4
70,38,7
71,38,2
72,39,6
73,40,1
74,41,3
75,41,5
76,41,2
77,42,7
78,42,1
79,43,6
80,43,2
81,43,8
82,44,7
83,45,1
84,45,8
85,45,5
86,46,8
87,46,3
88,47,1
89,47,4
90,47,3
91,48,5
92,48,7
93,48,8
94,49,5
95,49,8
96,49,3
97,50,3
98,50,1
99,50,4
100,51,6
101,51,8
102,51,5
103,52,1
104,52,6
105,53,7
106,54,4
107,54,2
108,54,8
109,55,5
110,55,4
111,56,8
112,56,3
113,56,7
114,57,8
115,58,3
116,59,6
117,59,2
118,59,5
119,60,4
120,60,7
